Fish_Name,Fish_Scientific_Name,Min-Max_Size_cm,Water_temperature_C,Water_pH,Character,Feeding_Habit,Environment,Price_VND
Cá lóc vây xanh,Channa gachua,15 - 20,22 - 28,6.0 - 7.5,"Hung dữ, bảo vệ lãnh thổ","Ăn thịt (côn trùng, tôm nhỏ)",Bể thủy sinh nhiều nơi trốn,"50,000 - 150,000"
Cá lóc hoàng đế,Channa marulioides,50 - 60,24 - 30,6.0 - 7.0,"Hung dữ, săn mồi","Ăn thịt (cá mồi, tôm)","Bể lớn, nhiều lũa đá","300,000 - 2,000,000"
Cá lóc cầu vồng,Channa bleheri,15 - 17,20 - 26,6.0 - 7.5,Tương đối hiền (so với loài lóc),"Ăn thịt, côn trùng","Bể thủy sinh, nước mát","150,000 - 300,000"
Cá lóc nữ hoàng,Channa aurantimaculata,35 - 40,20 - 28,6.0 - 7.0,"Hung dữ, đơn độc",Ăn thịt,Bể lớn có nắp đậy chặt,"800,000 - 2,500,000"
Cá lóc pháo hoa,Channa pulchra,25 - 30,18 - 25,6.5 - 7.5,Lãnh thổ cao,Ăn thịt,Bể có dòng nước nhẹ,"200,000 - 450,000"
Cá lóc đỏ (Red Maru),Channa marulioides (Red variant),50 - 65,26 - 30,6.0 - 6.8,Hung dữ,Ăn thịt,"Bể lớn, ánh sáng vừa phải","400,000 - 3,000,000"
Cá lóc tiểu hoàng đế,Channa stewartii,25 - 30,22 - 26,6.5 - 7.5,Hung dữ,Ăn thịt,Bể giả lập dòng suối,"250,000 - 600,000"
Cá sặc gấm,Trichogaster lalius,7 - 8,22 - 28,6.0 - 7.5,"Hiền lành, nhút nhát","Ăn tạp (cám, trùng chỉ)","Bể thủy sinh tĩnh, nhiều cây","15,000 - 30,000"
Cá sặc trân châu,Trichogaster leerii,10 - 12,24 - 28,6.5 - 8.5,"Hiền lành, điềm tĩnh",Ăn tạp,Bể thủy sinh rộng rãi,"20,000 - 40,000"
Cá sặc cẩm thạch,Trichogaster trichopterus,10 - 13,22 - 28,6.0 - 8.0,Hơi hung dữ với cá nhỏ,Ăn tạp,Bể cộng đồng lớn,"15,000 - 30,000"
Cá sặc điệp,Trichopodus microlepis,13 - 15,25 - 30,6.0 - 7.0,Hiền lành,Ăn tạp,Bể nhiều thực vật,"30,000 - 60,000"
Cá sặc bướm,Trichopodus trichopterus (vàng),10 - 12,23 - 28,6.5 - 7.5,Tương đối hiền,Ăn tạp,Bể nuôi chung với cá lớn hơn,"15,000 - 30,000"
Cá thanh ngọc (Bãi trầu),Trichopsis vittata,5 - 7,22 - 28,6.0 - 7.5,"Hiền lành, nhút nhát","Ăn tạp, côn trùng nhỏ","Bể thủy sinh rậm rạp, nước tĩnh","5,000 - 15,000"
Cá sặc kiếm,Macrognathus siamensis,20 - 25,23 - 28,6.5 - 7.5,"Hiền lành, nhút nhát",Ăn thịt nhỏ (trùng),Bể đáy cát mềm,"40,000 - 80,000"
Cá Betta Halfmoon,Betta splendens (Halfmoon),5 - 6,24 - 30,6.5 - 7.5,Hung dữ với đồng loại,"Ăn tạp/Ăn thịt (Artemia, cám)","Bể nhỏ đơn độc, nước tĩnh","40,000 - 120,000"
Cá Betta Plakat,Betta splendens (Plakat),5 - 6,24 - 30,6.5 - 7.5,"Rất hung dữ, hiếu chiến",Ăn thịt/Ăn tạp,"Bể đơn độc, dòng nước yếu","30,000 - 100,000"
Cá Betta Crowntail (Đuôi tơ),Betta splendens (Crowntail),5 - 6,24 - 30,6.5 - 7.5,Hung dữ với cá đực khác,Ăn tạp,"Bể đơn độc, ít vật nhọn","40,000 - 90,000"
Cá Betta Dumbo (Tai voi),Betta splendens (Dumbo),5 - 6,24 - 30,6.5 - 7.5,Hung dữ với đồng loại,Ăn tạp,Bể đơn độc,"50,000 - 150,000"
Cá Betta Alien (Dòng hoang dã),Betta splendens hybrid,5 - 6,22 - 28,6.0 - 7.0,"Hung dữ, năng động",Ăn thịt (trùng huyết),Bể thủy sinh đậy kín,"80,000 - 250,000"
Cá bảy màu Full Gold,Poecilia reticulata (Full Gold),4 - 5,22 - 28,7.0 - 8.5,"Hiền lành, năng động","Ăn tạp (cám thái, artemia)","Bể nhỏ, nước có độ cứng vừa","20,000 - 50,000"
Cá bảy màu Blue Grass,Poecilia reticulata (Blue Grass),4 - 5,22 - 28,7.0 - 8.2,Hiền lành,Ăn tạp,Bể thủy sinh,"30,000 - 70,000"
Cá bảy màu Koi Đỏ,Poecilia reticulata (Koi Red),4 - 5,22 - 28,7.0 - 8.0,Hiền lành,Ăn tạp,Bể cộng đồng,"40,000 - 90,000"
Cá hồng kim (Hoàng kiếm),Xiphophorus helleri,10 - 12,20 - 28,7.0 - 8.0,"Hiền lành, nhảy cao",Ăn tạp,"Bể rộng, có nắp đậy","10,000 - 25,000"
Cá bình tích đen (Hắc molly),Poecilia sphenops,6 - 8,20 - 28,7.0 - 8.5,"Hiền lành, năng động","Ăn tạp, ăn rêu hại","Bể cộng đồng, thích muối nhẹ","5,000 - 15,000"
Cá trân châu trắng,Poecilia latipinna,8 - 10,22 - 28,7.5 - 8.5,Hiền lành,Ăn tạp,Bể cộng đồng,"8,000 - 20,000"
Cá mún đỏ (Hà Lan),Xiphophorus maculatus,4 - 5,20 - 26,7.0 - 8.2,Hiền lành,Ăn tạp,Bể thủy sinh nhỏ,"6,000 - 15,000"
Cá mún hạt lựu,Xiphophorus maculatus (Short),3 - 4,20 - 26,7.0 - 8.0,Hiền lành,Ăn tạp,Bể nhỏ để bàn,"10,000 - 20,000"
Cá mún gấu trúc (Panda),Xiphophorus maculatus (Panda),4 - 5,20 - 26,7.0 - 8.0,Hiền lành,Ăn tạp,Bể thủy sinh,"15,000 - 30,000"
